Descriptor Name, Img1, Img2, Img3, Img4, Img5, Img6, Img7, Img8, Img9, Img10,,Total Keypoints,Avg Keypoints,Total Calc Time,Calc Time Per Keypoint
FAST_BRIEF,15.078,14.5192,15.097,13.9073,14.8492,14.5743,14.6504,15.3665,14.2927,,,2178,242.00,132.33,0.06
FAST_ORB,14.4455,16.426,14.3888,14.2003,13.9804,14.4574,14.1147,14.0696,14.0166,,,2061,229.00,130.10,0.06
FAST_SIFT,28.0264,28.3267,29.1195,28.2731,28.6074,27.1817,27.4251,27.95,27.7472,,,2225,247.22,252.66,0.11
SHITOMASI_BRIEF,27.2508,25.9501,25.1608,24.3061,27.1265,26.0131,27.8693,25.1708,26.118,,,816,90.67,234.97,0.29
SHITOMASI_ORB,26.2195,27.2874,25.7055,25.3334,26.0361,25.7573,26.6722,27.2757,25.6388,,,768,85.33,235.93,0.31
ORB_BRIEF,15.403,15.4331,15.9183,15.2102,15.9431,16.0665,16.7568,15.9083,17.4936,,,450,50.00,144.13,0.32
ORB_ORB,17.4294,16.4864,16.8166,18.406,16.1305,17.598,16.5007,17.0141,16.5337,,,458,50.89,152.92,0.33
FAST_FREAK,63.0118,58.5142,58.1678,58.1436,57.1614,57.3101,59.2152,57.9367,57.2437,,,1566,174.00,526.70,0.34
SHITOMASI_SIFT,34.0547,34.1238,38.8736,34.0936,34.1745,39.4644,37.9975,33.1249,34.4038,,,788,87.56,320.31,0.41
ORB_SIFT,30.4011,30.6261,31.0721,29.2003,32.2179,29.1835,33.7176,29.41,28.8301,,,510,56.67,274.66,0.54
AKAZE_BRIEF,96.0473,86.2661,85.9819,85.7734,82.792,84.5998,86.432,83.3085,81.5098,,,1087,120.78,772.71,0.71
AKAZE_ORB,85.1814,84.931,85.0076,85.7998,86.8011,99.6165,92.0684,88.303,84.8764,,,1066,118.44,792.59,0.74
AKAZE_SIFT,100.085,97.4787,106.352,105.601,94.1055,98.289,98.5939,91.9729,91.1199,,,1082,120.22,883.60,0.82
SHITOMASI_FREAK,64.0571,60.1093,61.6953,63.5824,59.9412,62.9507,60.3594,59.4739,58.1582,,,574,63.78,550.33,0.96
AKAZE_FREAK,119.945,132.147,132.256,128.148,123.506,124.891,122.589,120.774,118.257,,,921,102.33,1122.51,1.22
HARRIS_BRIEF,21.6523,19.6479,19.7571,21.1605,34.875,19.1046,21.6085,20.4306,27.4389,,,141,15.67,205.68,1.46
HARRIS_ORB,19.9236,19.6604,20.1264,20.7994,36.0408,21.7768,23.6804,24.4028,27.6724,,,145,16.11,214.08,1.48
ORB_FREAK,56.498,60.1428,57.5287,55.8113,55.4358,55.819,57.7395,56.3803,56.7711,,,332,36.89,512.13,1.54
FAST_BRISK,357.984,355.744,353.669,358.244,355.486,352.206,355.664,353.447,350.91,,,1832,203.56,3193.35,1.74
HARRIS_SIFT,34.094,35.0692,39.1138,34.5203,48.6074,32.7214,34.8697,33.3409,38.2394,,,166,18.44,330.58,1.99
SIFT_BRIEF,142.954,141.097,145.142,145.522,141.272,145.304,146.519,144.717,142.593,,,597,66.33,1295.12,2.17
SIFT_SIFT,165.145,157.44,154.534,155.091,156.415,155.156,158.275,156.862,156.44,,,624,69.33,1415.36,2.27
SIFT_ORB,142.417,146.771,144.997,146.031,144.868,149.444,147.953,147.757,146.575,,,552,61.33,1316.81,2.39
BRISK_BRIEF,394.172,395.076,390.433,391.766,393.259,396.596,391.004,395.324,390.878,,,1344,149.33,3538.51,2.63
BRISK_SIFT,405.503,402.874,400.037,406.884,404.717,409.716,410.406,403.046,404.371,,,1361,151.22,3647.55,2.68
BRISK_ORB,394.735,393.267,393.971,389.103,392.725,391.975,388.494,392.408,391.771,,,1288,143.11,3528.45,2.74
SIFT_FREAK,189.597,177.659,181.131,186.139,184.219,181.563,189.534,189.726,184.523,,,500,55.56,1664.09,3.33
AKAZE_BRISK,431.968,424.266,426.646,426.806,433.23,424.3,444.141,430.593,421.297,,,1064,118.22,3863.25,3.63
BRISK_FREAK,437.38,434.971,435.105,432.018,435.775,431.394,434.89,428.097,436.406,,,959,106.56,3906.04,4.07
HARRIS_FREAK,57.7644,58.4744,58.7589,60.9281,73.384,58.8083,64.4423,63.3762,64.8151,,,123,13.67,560.75,4.56
SHITOMASI_BRISK,372.905,366.39,373.371,369.2,368.394,371.105,370.838,366.337,368.949,,,690,76.67,3327.49,4.82
BRISK_BRISK,745.485,739.809,736.852,737.718,738.089,739.03,737.137,738.999,739.566,,,1219,135.44,6652.69,5.46
ORB_BRISK,361.002,359.478,357.032,359.998,357.622,359.173,363.424,360.68,363.91,,,411,45.67,3242.32,7.89
SIFT_BRISK,459.435,466.349,467.303,461.9,463.843,467.484,457.544,461.874,467.399,,,510,56.67,4173.13,8.18
HARRIS_BRISK,356.474,357.917,360.189,359.031,377.934,358.259,361.01,356.409,370.426,,,121,13.44,3257.65,26.92
