Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR,TTC DIFFERENCE,TTC DIFFERENCE LIDAR VS CAMERA
3, HARRIS, BRISK, nan,16.3845,#VALUE!,#VALUE!
3, HARRIS, BRIEF, nan,16.3845,#VALUE!,#VALUE!
3, HARRIS, ORB, nan,16.3845,#VALUE!,#VALUE!
3, HARRIS, FREAK, nan,16.3845,#VALUE!,#VALUE!
8, ORB, BRIEF, -inf,13.7901,#VALUE!,#VALUE!
8, ORB, FREAK, nan,13.7901,#VALUE!,#VALUE!
6, HARRIS, BRISK, nan,13.7511,#VALUE!,#VALUE!
6, ORB, BRIEF, nan,13.7511,#VALUE!,#VALUE!
6, ORB, ORB, -inf,13.7511,#VALUE!,#VALUE!
6, ORB, FREAK, -inf,13.7511,#VALUE!,#VALUE!
7, ORB, BRIEF, nan,13.7314,#VALUE!,#VALUE!
7, ORB, ORB, -inf,13.7314,#VALUE!,#VALUE!
7, ORB, FREAK, nan,13.7314,#VALUE!,#VALUE!
2, HARRIS, FREAK, nan,13.3547,#VALUE!,#VALUE!
1, HARRIS, BRISK, nan,12.2891,#VALUE!,#VALUE!
1, HARRIS, ORB, nan,12.2891,#VALUE!,#VALUE!
1, HARRIS, FREAK, nan,12.2891,#VALUE!,#VALUE!
1, ORB, ORB, -inf,12.2891,#VALUE!,#VALUE!
9, HARRIS, BRISK, nan,12.059,#VALUE!,#VALUE!
9, HARRIS, BRIEF, nan,12.059,#VALUE!,#VALUE!
9, HARRIS, ORB, nan,12.059,#VALUE!,#VALUE!
9, HARRIS, FREAK, nan,12.059,#VALUE!,#VALUE!
9, ORB, ORB, -inf,12.059,#VALUE!,#VALUE!
11, HARRIS, BRISK, nan,11.9682,#VALUE!,#VALUE!
11, HARRIS, BRIEF, nan,11.9682,#VALUE!,#VALUE!
11, HARRIS, ORB, nan,11.9682,#VALUE!,#VALUE!
11, HARRIS, FREAK, nan,11.9682,#VALUE!,#VALUE!
10, HARRIS, BRISK, -inf,11.8642,#VALUE!,#VALUE!
10, HARRIS, BRIEF, -inf,11.8642,#VALUE!,#VALUE!
10, HARRIS, ORB, -inf,11.8642,#VALUE!,#VALUE!
10, ORB, ORB, -inf,11.8642,#VALUE!,#VALUE!
17, HARRIS, BRISK, nan,11.0301,#VALUE!,#VALUE!
17, HARRIS, ORB, nan,11.0301,#VALUE!,#VALUE!
17, HARRIS, FREAK, nan,11.0301,#VALUE!,#VALUE!
12, HARRIS, BRISK, nan,9.88711,#VALUE!,#VALUE!
12, HARRIS, BRIEF, nan,9.88711,#VALUE!,#VALUE!
12, ORB, BRISK, -inf,9.88711,#VALUE!,#VALUE!
12, ORB, ORB, -inf,9.88711,#VALUE!,#VALUE!
13, HARRIS, FREAK, nan,9.42504,#VALUE!,#VALUE!
13, ORB, ORB, -inf,9.42504,#VALUE!,#VALUE!
14, HARRIS, BRIEF, nan,9.30215,#VALUE!,#VALUE!
14, HARRIS, FREAK, nan,9.30215,#VALUE!,#VALUE!
14, ORB, ORB, -inf,9.30215,#VALUE!,#VALUE!
18, HARRIS, BRISK, nan,8.53557,#VALUE!,#VALUE!
18, HARRIS, BRIEF, nan,8.53557,#VALUE!,#VALUE!
18, HARRIS, ORB, nan,8.53557,#VALUE!,#VALUE!
18, HARRIS, FREAK, nan,8.53557,#VALUE!,#VALUE!
15, HARRIS, BRISK, -inf,8.3212,#VALUE!,#VALUE!
15, HARRIS, BRIEF, nan,8.3212,#VALUE!,#VALUE!
15, HARRIS, ORB, nan,8.3212,#VALUE!,#VALUE!
15, HARRIS, FREAK, nan,8.3212,#VALUE!,#VALUE!
15, ORB, ORB, -inf,8.3212,#VALUE!,#VALUE!
15, ORB, FREAK, nan,8.3212,#VALUE!,#VALUE!
0, SHITOMASI, BRIEF, ,,#VALUE!,#VALUE!
0, SHITOMASI, ORB, ,,#VALUE!,#VALUE!
0, SHITOMASI, FREAK, ,,#VALUE!,#VALUE!
0, HARRIS, BRISK, ,,#VALUE!,#VALUE!
0, HARRIS, BRIEF, ,,#VALUE!,#VALUE!
0, HARRIS, ORB, ,,#VALUE!,#VALUE!
0, HARRIS, FREAK, ,,#VALUE!,#VALUE!
0, FAST, BRISK, ,,#VALUE!,#VALUE!
0, FAST, BRIEF, ,,#VALUE!,#VALUE!
0, FAST, ORB, ,,#VALUE!,#VALUE!
0, FAST, FREAK, ,,#VALUE!,#VALUE!
0, BRISK, BRISK, ,,#VALUE!,#VALUE!
0, BRISK, BRIEF, ,,#VALUE!,#VALUE!
0, BRISK, ORB, ,,#VALUE!,#VALUE!
0, BRISK, FREAK, ,,#VALUE!,#VALUE!
0, ORB, BRISK, ,,#VALUE!,#VALUE!
0, ORB, BRIEF, ,,#VALUE!,#VALUE!
0, ORB, ORB, ,,#VALUE!,#VALUE!
0, ORB, FREAK, ,,#VALUE!,#VALUE!
0, AKAZE, BRISK, ,,#VALUE!,#VALUE!
0, AKAZE, BRIEF, ,,#VALUE!,#VALUE!
0, AKAZE, ORB, ,,#VALUE!,#VALUE!
0, AKAZE, FREAK, ,,#VALUE!,#VALUE!
3, ORB, BRIEF,9.75076,16.3845,-6.63374,6.63374
6, ORB, BRISK,7.13793,13.7511,-6.61317,6.61317
3, BRISK, FREAK,10.6889,16.3845,-5.6956,5.6956
3, BRISK, BRIEF,10.8525,16.3845,-5.532,5.532
3, SHITOMASI, BRIEF,11.0783,16.3845,-5.3062,5.3062
2, ORB, ORB,8.38399,13.3547,-4.97071,4.97071
12, HARRIS, FREAK,5.05076,9.88711,-4.83635,4.83635
3, ORB, FREAK,11.5586,16.3845,-4.8259,4.8259
7, ORB, BRISK,8.92814,13.7314,-4.80326,4.80326
17, ORB, FREAK,6.42412,11.0301,-4.60598,4.60598
11, ORB, BRISK,7.52121,11.9682,-4.44699,4.44699
3, SHITOMASI, ORB,12.3202,16.3845,-4.0643,4.0643
3, SHITOMASI, FREAK,12.4249,16.3845,-3.9596,3.9596
3, SHITOMASI, BRISK,12.4843,16.3845,-3.9002,3.9002
3, FAST, ORB,12.6506,16.3845,-3.7339,3.7339
3, AKAZE, BRIEF,12.6868,16.3845,-3.6977,3.6977
3, FAST, BRIEF,12.7084,16.3845,-3.6761,3.6761
3, AKAZE, FREAK,12.7997,16.3845,-3.5848,3.5848
2, ORB, BRIEF,9.7741,13.3547,-3.5806,3.5806
1, HARRIS, BRIEF,8.81335,12.2891,-3.47575,3.47575
14, HARRIS, ORB,5.85828,9.30215,-3.44387,3.44387
8, ORB, BRISK,10.4367,13.7901,-3.3534,3.3534
4, ORB, FREAK,10.8492,14.0764,-3.2272,3.2272
3, AKAZE, BRISK,13.1886,16.3845,-3.1959,3.1959
3, AKAZE, ORB,13.238,16.3845,-3.1465,3.1465
3, FAST, BRISK,13.2623,16.3845,-3.1222,3.1222
18, ORB, FREAK,5.48789,8.53557,-3.04768,3.04768
4, ORB, BRIEF,11.1446,14.0764,-2.9318,2.9318
3, FAST, FREAK,13.4584,16.3845,-2.9261,2.9261
7, BRISK, FREAK,10.919,13.7314,-2.8124,2.8124
4, ORB, BRISK,11.2833,14.0764,-2.7931,2.7931
2, HARRIS, BRISK,10.586,13.3547,-2.7687,2.7687
8, FAST, BRISK,11.0411,13.7901,-2.749,2.749
3, BRISK, BRISK,13.6421,16.3845,-2.7424,2.7424
17, AKAZE, BRISK,8.38733,11.0301,-2.64277,2.64277
7, HARRIS, FREAK,11.0924,13.7314,-2.639,2.639
2, ORB, FREAK,10.721,13.3547,-2.6337,2.6337
11, ORB, ORB,9.34128,11.9682,-2.62692,2.62692
17, SHITOMASI, BRIEF,8.47574,11.0301,-2.55436,2.55436
8, SHITOMASI, BRIEF,11.2653,13.7901,-2.5248,2.5248
16, HARRIS, ORB,6.48965,8.89867,-2.40902,2.40902
2, HARRIS, BRIEF,11.0081,13.3547,-2.3466,2.3466
2, HARRIS, ORB,11.0081,13.3547,-2.3466,2.3466
4, HARRIS, BRISK,11.755,14.0764,-2.3214,2.3214
18, SHITOMASI, FREAK,6.24073,8.53557,-2.29484,2.29484
4, ORB, ORB,11.8245,14.0764,-2.2519,2.2519
2, ORB, BRISK,11.1036,13.3547,-2.2511,2.2511
4, FAST, ORB,11.8612,14.0764,-2.2152,2.2152
8, SHITOMASI, BRISK,11.6354,13.7901,-2.1547,2.1547
7, HARRIS, BRISK,11.6557,13.7314,-2.0757,2.0757
3, BRISK, ORB,14.3129,16.3845,-2.0716,2.0716
4, FAST, BRIEF,12.0381,14.0764,-2.0383,2.0383
8, FAST, ORB,11.7689,13.7901,-2.0212,2.0212
7, HARRIS, BRIEF,11.7285,13.7314,-2.0029,2.0029
10, BRISK, BRIEF,9.86778,11.8642,-1.99642,1.99642
8, SHITOMASI, ORB,11.8052,13.7901,-1.9849,1.9849
6, FAST, BRIEF,11.7686,13.7511,-1.9825,1.9825
6, FAST, ORB,11.8227,13.7511,-1.9284,1.9284
17, AKAZE, BRIEF,9.13135,11.0301,-1.89875,1.89875
16, HARRIS, BRIEF,7.03775,8.89867,-1.86092,1.86092
8, HARRIS, FREAK,11.9718,13.7901,-1.8183,1.8183
6, FAST, FREAK,12.079,13.7511,-1.6721,1.6721
6, FAST, BRISK,12.1702,13.7511,-1.5809,1.5809
12, ORB, FREAK,8.31342,9.88711,-1.57369,1.57369
7, FAST, ORB,12.1627,13.7314,-1.5687,1.5687
6, AKAZE, BRIEF,12.2131,13.7511,-1.538,1.538
7, FAST, BRIEF,12.2073,13.7314,-1.5241,1.5241
4, SHITOMASI, ORB,12.561,14.0764,-1.5154,1.5154
17, AKAZE, ORB,9.52042,11.0301,-1.50968,1.50968
7, HARRIS, ORB,12.2792,13.7314,-1.4522,1.4522
9, AKAZE, ORB,10.6074,12.059,-1.4516,1.4516
4, HARRIS, BRIEF,12.629,14.0764,-1.4474,1.4474
4, HARRIS, ORB,12.629,14.0764,-1.4474,1.4474
4, HARRIS, FREAK,12.629,14.0764,-1.4474,1.4474
8, HARRIS, BRISK,12.3725,13.7901,-1.4176,1.4176
17, AKAZE, FREAK,9.65304,11.0301,-1.37706,1.37706
1, BRISK, BRIEF,10.9213,12.2891,-1.3678,1.3678
1, AKAZE, ORB,10.928,12.2891,-1.3611,1.3611
8, FAST, FREAK,12.439,13.7901,-1.3511,1.3511
6, SHITOMASI, BRIEF,12.4359,13.7511,-1.3152,1.3152
8, SHITOMASI, FREAK,12.479,13.7901,-1.3111,1.3111
5, FAST, FREAK,11.4588,12.7299,-1.2711,1.2711
8, FAST, BRIEF,12.5241,13.7901,-1.266,1.266
5, FAST, BRISK,11.4706,12.7299,-1.2593,1.2593
8, AKAZE, BRISK,12.5576,13.7901,-1.2325,1.2325
1, ORB, BRISK,11.0758,12.2891,-1.2133,1.2133
10, AKAZE, ORB,10.6592,11.8642,-1.205,1.205
2, SHITOMASI, BRISK,12.186,13.3547,-1.1687,1.1687
2, AKAZE, FREAK,12.1967,13.3547,-1.158,1.158
11, ORB, FREAK,10.8181,11.9682,-1.1501,1.1501
4, FAST, BRISK,12.9267,14.0764,-1.1497,1.1497
4, AKAZE, BRIEF,12.9322,14.0764,-1.1442,1.1442
4, SHITOMASI, BRIEF,12.9702,14.0764,-1.1062,1.1062
6, AKAZE, ORB,12.655,13.7511,-1.0961,1.0961
17, BRISK, FREAK,9.94683,11.0301,-1.08327,1.08327
2, FAST, BRISK,12.2924,13.3547,-1.0623,1.0623
17, BRISK, BRISK,10.0049,11.0301,-1.0252,1.0252
6, BRISK, FREAK,12.7322,13.7511,-1.0189,1.0189
10, ORB, FREAK,10.8775,11.8642,-0.9867,0.9867
10, BRISK, BRISK,10.8782,11.8642,-0.986,0.986
10, ORB, BRISK,10.8822,11.8642,-0.982,0.982
1, BRISK, ORB,11.326,12.2891,-0.9631,0.9631
8, AKAZE, FREAK,12.8325,13.7901,-0.9576,0.9576
2, FAST, FREAK,12.4891,13.3547,-0.8656,0.8656
10, AKAZE, FREAK,11.0019,11.8642,-0.8623,0.8623
13, ORB, FREAK,8.59036,9.42504,-0.83468,0.83468
1, BRISK, FREAK,11.4638,12.2891,-0.8253,0.8253
6, AKAZE, BRISK,12.9361,13.7511,-0.815,0.815
1, AKAZE, FREAK,11.4796,12.2891,-0.8095,0.8095
6, SHITOMASI, BRISK,12.9568,13.7511,-0.7943,0.7943
6, SHITOMASI, ORB,12.9772,13.7511,-0.7739,0.7739
4, AKAZE, FREAK,13.3031,14.0764,-0.7733,0.7733
5, FAST, BRIEF,11.9602,12.7299,-0.7697,0.7697
17, FAST, BRISK,10.2682,11.0301,-0.7619,0.7619
2, FAST, ORB,12.5967,13.3547,-0.758,0.758
4, FAST, FREAK,13.327,14.0764,-0.7494,0.7494
9, SHITOMASI, ORB,11.3278,12.059,-0.7312,0.7312
5, SHITOMASI, FREAK,11.9996,12.7299,-0.7303,0.7303
2, SHITOMASI, FREAK,12.6378,13.3547,-0.7169,0.7169
7, FAST, FREAK,13.0192,13.7314,-0.7122,0.7122
9, SHITOMASI, BRIEF,11.3645,12.059,-0.6945,0.6945
17, BRISK, ORB,10.3416,11.0301,-0.6885,0.6885
7, SHITOMASI, FREAK,13.0836,13.7314,-0.6478,0.6478
17, FAST, ORB,10.3848,11.0301,-0.6453,0.6453
