Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0, SHITOMASI, BRISK, ,
1, SHITOMASI, BRISK,13.2738,12.2891
2, SHITOMASI, BRISK,12.186,13.3547
3, SHITOMASI, BRISK,12.4843,16.3845
4, SHITOMASI, BRISK,13.5338,14.0764
5, SHITOMASI, BRISK,12.6602,12.7299
6, SHITOMASI, BRISK,12.9568,13.7511
7, SHITOMASI, BRISK,15.0311,13.7314
8, SHITOMASI, BRISK,11.6354,13.7901
9, SHITOMASI, BRISK,12.4906,12.059
10, SHITOMASI, BRISK,11.7451,11.8642
11, SHITOMASI, BRISK,12.1722,11.9682
12, SHITOMASI, BRISK,12.0293,9.88711
13, SHITOMASI, BRISK,13.6077,9.42504
14, SHITOMASI, BRISK,12.725,9.30215
15, SHITOMASI, BRISK,12.8085,8.3212
16, SHITOMASI, BRISK,9.73454,8.89867
17, SHITOMASI, BRISK,12.677,11.0301
18, SHITOMASI, BRISK,10.7133,8.53557
,,,,
0, SHITOMASI, BRIEF, ,
1, SHITOMASI, BRIEF,13.0861,12.2891
2, SHITOMASI, BRIEF,13.8102,13.3547
3, SHITOMASI, BRIEF,11.0783,16.3845
4, SHITOMASI, BRIEF,12.9702,14.0764
5, SHITOMASI, BRIEF,12.1074,12.7299
6, SHITOMASI, BRIEF,12.4359,13.7511
7, SHITOMASI, BRIEF,13.6717,13.7314
8, SHITOMASI, BRIEF,11.2653,13.7901
9, SHITOMASI, BRIEF,11.3645,12.059
10, SHITOMASI, BRIEF,11.8697,11.8642
11, SHITOMASI, BRIEF,12.1794,11.9682
12, SHITOMASI, BRIEF,10.6,9.88711
13, SHITOMASI, BRIEF,12.5068,9.42504
14, SHITOMASI, BRIEF,11.1071,9.30215
15, SHITOMASI, BRIEF,12.8595,8.3212
16, SHITOMASI, BRIEF,11.5882,8.89867
17, SHITOMASI, BRIEF,8.47574,11.0301
18, SHITOMASI, BRIEF,8.93181,8.53557
,,,,
0, SHITOMASI, ORB, ,
1, SHITOMASI, ORB,12.1206,12.2891
2, SHITOMASI, ORB,13.4101,13.3547
3, SHITOMASI, ORB,12.3202,16.3845
4, SHITOMASI, ORB,12.561,14.0764
5, SHITOMASI, ORB,12.4657,12.7299
6, SHITOMASI, ORB,12.9772,13.7511
7, SHITOMASI, ORB,13.6863,13.7314
8, SHITOMASI, ORB,11.8052,13.7901
9, SHITOMASI, ORB,11.3278,12.059
10, SHITOMASI, ORB,14.2449,11.8642
11, SHITOMASI, ORB,11.4706,11.9682
12, SHITOMASI, ORB,11.4569,9.88711
13, SHITOMASI, ORB,13.1009,9.42504
14, SHITOMASI, ORB,11.8009,9.30215
15, SHITOMASI, ORB,11.1867,8.3212
16, SHITOMASI, ORB,12.5139,8.89867
17, SHITOMASI, ORB,11.7417,11.0301
18, SHITOMASI, ORB,10.317,8.53557
,,,,
0, SHITOMASI, FREAK, ,
1, SHITOMASI, FREAK,13.6067,12.2891
2, SHITOMASI, FREAK,12.6378,13.3547
3, SHITOMASI, FREAK,12.4249,16.3845
4, SHITOMASI, FREAK,13.7589,14.0764
5, SHITOMASI, FREAK,11.9996,12.7299
6, SHITOMASI, FREAK,13.8319,13.7511
7, SHITOMASI, FREAK,13.0836,13.7314
8, SHITOMASI, FREAK,12.479,13.7901
9, SHITOMASI, FREAK,11.9735,12.059
10, SHITOMASI, FREAK,13.889,11.8642
11, SHITOMASI, FREAK,12.0367,11.9682
12, SHITOMASI, FREAK,11.5256,9.88711
13, SHITOMASI, FREAK,12.9306,9.42504
14, SHITOMASI, FREAK,11.5998,9.30215
15, SHITOMASI, FREAK,8.69538,8.3212
16, SHITOMASI, FREAK,9.10914,8.89867
17, SHITOMASI, FREAK,12.6391,11.0301
18, SHITOMASI, FREAK,6.24073,8.53557
,,,,
0, HARRIS, BRISK, ,
1, HARRIS, BRISK, nan,12.2891
2, HARRIS, BRISK,10.586,13.3547
3, HARRIS, BRISK, nan,16.3845
4, HARRIS, BRISK,11.755,14.0764
5, HARRIS, BRISK,13.3206,12.7299
6, HARRIS, BRISK, nan,13.7511
7, HARRIS, BRISK,11.6557,13.7314
8, HARRIS, BRISK,12.3725,13.7901
9, HARRIS, BRISK, nan,12.059
10, HARRIS, BRISK, -inf,11.8642
11, HARRIS, BRISK, nan,11.9682
12, HARRIS, BRISK, nan,9.88711
13, HARRIS, BRISK,13.3551,9.42504
14, HARRIS, BRISK,12.4394,9.30215
15, HARRIS, BRISK, -inf,8.3212
16, HARRIS, BRISK,12.0207,8.89867
17, HARRIS, BRISK, nan,11.0301
18, HARRIS, BRISK, nan,8.53557
,,,,
0, HARRIS, BRIEF, ,
1, HARRIS, BRIEF,8.81335,12.2891
2, HARRIS, BRIEF,11.0081,13.3547
3, HARRIS, BRIEF, nan,16.3845
4, HARRIS, BRIEF,12.629,14.0764
5, HARRIS, BRIEF,13.3206,12.7299
6, HARRIS, BRIEF,14.3892,13.7511
7, HARRIS, BRIEF,11.7285,13.7314
8, HARRIS, BRIEF,13.5704,13.7901
9, HARRIS, BRIEF, nan,12.059
10, HARRIS, BRIEF, -inf,11.8642
11, HARRIS, BRIEF, nan,11.9682
12, HARRIS, BRIEF, nan,9.88711
13, HARRIS, BRIEF,13.4095,9.42504
14, HARRIS, BRIEF, nan,9.30215
15, HARRIS, BRIEF, nan,8.3212
16, HARRIS, BRIEF,7.03775,8.89867
17, HARRIS, BRIEF,12.7384,11.0301
18, HARRIS, BRIEF, nan,8.53557
,,,,
0, HARRIS, ORB, ,
1, HARRIS, ORB, nan,12.2891
2, HARRIS, ORB,11.0081,13.3547
3, HARRIS, ORB, nan,16.3845
4, HARRIS, ORB,12.629,14.0764
5, HARRIS, ORB,19.2159,12.7299
6, HARRIS, ORB,14.9633,13.7511
7, HARRIS, ORB,12.2792,13.7314
8, HARRIS, ORB,13.5704,13.7901
9, HARRIS, ORB, nan,12.059
10, HARRIS, ORB, -inf,11.8642
11, HARRIS, ORB, nan,11.9682
12, HARRIS, ORB,23.9071,9.88711
13, HARRIS, ORB,13.4095,9.42504
14, HARRIS, ORB,5.85828,9.30215
15, HARRIS, ORB, nan,8.3212
16, HARRIS, ORB,6.48965,8.89867
17, HARRIS, ORB, nan,11.0301
18, HARRIS, ORB, nan,8.53557
,,,,
0, HARRIS, FREAK, ,
1, HARRIS, FREAK, nan,12.2891
2, HARRIS, FREAK, nan,13.3547
3, HARRIS, FREAK, nan,16.3845
4, HARRIS, FREAK,12.629,14.0764
5, HARRIS, FREAK,39.584,12.7299
6, HARRIS, FREAK,39.584,13.7511
7, HARRIS, FREAK,11.0924,13.7314
8, HARRIS, FREAK,11.9718,13.7901
9, HARRIS, FREAK, nan,12.059
10, HARRIS, FREAK,20.5862,11.8642
11, HARRIS, FREAK, nan,11.9682
12, HARRIS, FREAK,5.05076,9.88711
13, HARRIS, FREAK, nan,9.42504
14, HARRIS, FREAK, nan,9.30215
15, HARRIS, FREAK, nan,8.3212
16, HARRIS, FREAK,8.86241,8.89867
17, HARRIS, FREAK, nan,11.0301
18, HARRIS, FREAK, nan,8.53557
,,,,
0, FAST, BRISK, ,
1, FAST, BRISK,13.312,12.2891
2, FAST, BRISK,12.2924,13.3547
3, FAST, BRISK,13.2623,16.3845
4, FAST, BRISK,12.9267,14.0764
5, FAST, BRISK,11.4706,12.7299
6, FAST, BRISK,12.1702,13.7511
7, FAST, BRISK,13.1437,13.7314
8, FAST, BRISK,11.0411,13.7901
9, FAST, BRISK,13.2623,12.059
10, FAST, BRISK,11.761,11.8642
11, FAST, BRISK,12.0883,11.9682
12, FAST, BRISK,12.5958,9.88711
13, FAST, BRISK,12.7071,9.42504
14, FAST, BRISK,12.2928,9.30215
15, FAST, BRISK,12.2294,8.3212
16, FAST, BRISK,10.7828,8.89867
17, FAST, BRISK,10.2682,11.0301
18, FAST, BRISK,11.6481,8.53557
,,,,
0, FAST, BRIEF, ,
1, FAST, BRIEF,12.2009,12.2891
2, FAST, BRIEF,12.8411,13.3547
3, FAST, BRIEF,12.7084,16.3845
4, FAST, BRIEF,12.0381,14.0764
5, FAST, BRIEF,11.9602,12.7299
6, FAST, BRIEF,11.7686,13.7511
7, FAST, BRIEF,12.2073,13.7314
8, FAST, BRIEF,12.5241,13.7901
9, FAST, BRIEF,13.0297,12.059
10, FAST, BRIEF,13.0809,11.8642
11, FAST, BRIEF,11.8438,11.9682
12, FAST, BRIEF,12.305,9.88711
13, FAST, BRIEF,12.1679,9.42504
14, FAST, BRIEF,11.0014,9.30215
15, FAST, BRIEF,10.2107,8.3212
16, FAST, BRIEF,9.76701,8.89867
17, FAST, BRIEF,10.4284,11.0301
18, FAST, BRIEF,10.3618,8.53557
,,,,
0, FAST, ORB, ,
1, FAST, ORB,12.4947,12.2891
2, FAST, ORB,12.5967,13.3547
3, FAST, ORB,12.6506,16.3845
4, FAST, ORB,11.8612,14.0764
5, FAST, ORB,12.3204,12.7299
6, FAST, ORB,11.8227,13.7511
7, FAST, ORB,12.1627,13.7314
8, FAST, ORB,11.7689,13.7901
9, FAST, ORB,13.0974,12.059
10, FAST, ORB,12.6515,11.8642
11, FAST, ORB,11.8197,11.9682
12, FAST, ORB,12.2689,9.88711
13, FAST, ORB,12.5975,9.42504
14, FAST, ORB,12.1132,9.30215
15, FAST, ORB,11.4279,8.3212
16, FAST, ORB,11.9209,8.89867
17, FAST, ORB,10.3848,11.0301
18, FAST, ORB,11.9031,8.53557
,,,,
0, FAST, FREAK, ,
1, FAST, FREAK,13.0761,12.2891
2, FAST, FREAK,12.4891,13.3547
3, FAST, FREAK,13.4584,16.3845
4, FAST, FREAK,13.327,14.0764
5, FAST, FREAK,11.4588,12.7299
6, FAST, FREAK,12.079,13.7511
7, FAST, FREAK,13.0192,13.7314
8, FAST, FREAK,12.439,13.7901
9, FAST, FREAK,13.7065,12.059
10, FAST, FREAK,13.4338,11.8642
11, FAST, FREAK,11.7575,11.9682
12, FAST, FREAK,12.6587,9.88711
13, FAST, FREAK,11.354,9.42504
14, FAST, FREAK,11.8844,9.30215
15, FAST, FREAK,10.5231,8.3212
16, FAST, FREAK,9.44349,8.89867
17, FAST, FREAK,11.3217,11.0301
18, FAST, FREAK,11.266,8.53557
,,,,
0, BRISK, BRISK, ,
1, BRISK, BRISK,14.3346,12.2891
2, BRISK, BRISK,22.9422,13.3547
3, BRISK, BRISK,13.6421,16.3845
4, BRISK, BRISK,13.8129,14.0764
5, BRISK, BRISK,26.4305,12.7299
6, BRISK, BRISK,16.931,13.7511
7, BRISK, BRISK,14.7751,13.7314
8, BRISK, BRISK,13.1829,13.7901
9, BRISK, BRISK,13.9642,12.059
10, BRISK, BRISK,10.8782,11.8642
11, BRISK, BRISK,13.0458,11.9682
12, BRISK, BRISK,12.239,9.88711
13, BRISK, BRISK,10.8728,9.42504
14, BRISK, BRISK,14.3028,9.30215
15, BRISK, BRISK,11.4379,8.3212
16, BRISK, BRISK,11.4475,8.89867
17, BRISK, BRISK,10.0049,11.0301
18, BRISK, BRISK,13.761,8.53557
,,,,
0, BRISK, BRIEF, ,
1, BRISK, BRIEF,10.9213,12.2891
2, BRISK, BRIEF,15.3406,13.3547
3, BRISK, BRIEF,10.8525,16.3845
4, BRISK, BRIEF,22.7733,14.0764
5, BRISK, BRIEF,15.0432,12.7299
6, BRISK, BRIEF,15.2067,13.7511
7, BRISK, BRIEF,13.7324,13.7314
8, BRISK, BRIEF,18.1081,13.7901
9, BRISK, BRIEF,14.8539,12.059
10, BRISK, BRIEF,9.86778,11.8642
11, BRISK, BRIEF,13.7368,11.9682
12, BRISK, BRIEF,12.1969,9.88711
13, BRISK, BRIEF,11.8439,9.42504
14, BRISK, BRIEF,10.991,9.30215
15, BRISK, BRIEF,10.304,8.3212
16, BRISK, BRIEF,12.0195,8.89867
17, BRISK, BRIEF,10.7936,11.0301
18, BRISK, BRIEF,9.03165,8.53557
,,,,
0, BRISK, ORB, ,
1, BRISK, ORB,11.326,12.2891
2, BRISK, ORB,19.801,13.3547
3, BRISK, ORB,14.3129,16.3845
4, BRISK, ORB,14.3497,14.0764
5, BRISK, ORB,18.8106,12.7299
6, BRISK, ORB,20.3228,13.7511
7, BRISK, ORB,15.0786,13.7314
8, BRISK, ORB,16.305,13.7901
9, BRISK, ORB,18.261,12.059
10, BRISK, ORB,11.2213,11.8642
11, BRISK, ORB,13.6136,11.9682
12, BRISK, ORB,11.7708,9.88711
13, BRISK, ORB,11.0276,9.42504
14, BRISK, ORB,13.6446,9.30215
15, BRISK, ORB,10.6024,8.3212
16, BRISK, ORB,13.0952,8.89867
