Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0000, SHITOMASI, BRISK, 
0001, SHITOMASI, BRISK, 13.2738, 12.2891
0002, SHITOMASI, BRISK, 12.186, 13.3547
0003, SHITOMASI, BRISK, 12.4843, 16.3845
0004, SHITOMASI, BRISK, 13.5338, 14.0764
0005, SHITOMASI, BRISK, 12.6602, 12.7299
0006, SHITOMASI, BRISK, 12.9568, 13.7511
0007, SHITOMASI, BRISK, 15.0311, 13.7314
0008, SHITOMASI, BRISK, 11.6354, 13.7901
0009, SHITOMASI, BRISK, 12.4906, 12.059
0010, SHITOMASI, BRISK, 11.7451, 11.8642
0011, SHITOMASI, BRISK, 12.1722, 11.9682
0012, SHITOMASI, BRISK, 12.0293, 9.88711
0013, SHITOMASI, BRISK, 13.6077, 9.42504
0014, SHITOMASI, BRISK, 12.725, 9.30215
0015, SHITOMASI, BRISK, 12.8085, 8.3212
0016, SHITOMASI, BRISK, 9.73454, 8.89867
0017, SHITOMASI, BRISK, 12.677, 11.0301
0018, SHITOMASI, BRISK, 10.7133, 8.53557

0000, SHITOMASI, BRIEF, 
0001, SHITOMASI, BRIEF, 13.0861, 12.2891
0002, SHITOMASI, BRIEF, 13.8102, 13.3547
0003, SHITOMASI, BRIEF, 11.0783, 16.3845
0004, SHITOMASI, BRIEF, 12.9702, 14.0764
0005, SHITOMASI, BRIEF, 12.1074, 12.7299
0006, SHITOMASI, BRIEF, 12.4359, 13.7511
0007, SHITOMASI, BRIEF, 13.6717, 13.7314
0008, SHITOMASI, BRIEF, 11.2653, 13.7901
0009, SHITOMASI, BRIEF, 11.3645, 12.059
0010, SHITOMASI, BRIEF, 11.8697, 11.8642
0011, SHITOMASI, BRIEF, 12.1794, 11.9682
0012, SHITOMASI, BRIEF, 10.6, 9.88711
0013, SHITOMASI, BRIEF, 12.5068, 9.42504
0014, SHITOMASI, BRIEF, 11.1071, 9.30215
0015, SHITOMASI, BRIEF, 12.8595, 8.3212
0016, SHITOMASI, BRIEF, 11.5882, 8.89867
0017, SHITOMASI, BRIEF, 8.47574, 11.0301
0018, SHITOMASI, BRIEF, 8.93181, 8.53557

0000, SHITOMASI, ORB, 
0001, SHITOMASI, ORB, 12.1206, 12.2891
0002, SHITOMASI, ORB, 13.4101, 13.3547
0003, SHITOMASI, ORB, 12.3202, 16.3845
0004, SHITOMASI, ORB, 12.561, 14.0764
0005, SHITOMASI, ORB, 12.4657, 12.7299
0006, SHITOMASI, ORB, 12.9772, 13.7511
0007, SHITOMASI, ORB, 13.6863, 13.7314
0008, SHITOMASI, ORB, 11.8052, 13.7901
0009, SHITOMASI, ORB, 11.3278, 12.059
0010, SHITOMASI, ORB, 14.2449, 11.8642
0011, SHITOMASI, ORB, 11.4706, 11.9682
0012, SHITOMASI, ORB, 11.4569, 9.88711
0013, SHITOMASI, ORB, 13.1009, 9.42504
0014, SHITOMASI, ORB, 11.8009, 9.30215
0015, SHITOMASI, ORB, 11.1867, 8.3212
0016, SHITOMASI, ORB, 12.5139, 8.89867
0017, SHITOMASI, ORB, 11.7417, 11.0301
0018, SHITOMASI, ORB, 10.317, 8.53557

0000, SHITOMASI, FREAK, 
0001, SHITOMASI, FREAK, 13.6067, 12.2891
0002, SHITOMASI, FREAK, 12.6378, 13.3547
0003, SHITOMASI, FREAK, 12.4249, 16.3845
0004, SHITOMASI, FREAK, 13.7589, 14.0764
0005, SHITOMASI, FREAK, 11.9996, 12.7299
0006, SHITOMASI, FREAK, 13.8319, 13.7511
0007, SHITOMASI, FREAK, 13.0836, 13.7314
0008, SHITOMASI, FREAK, 12.479, 13.7901
0009, SHITOMASI, FREAK, 11.9735, 12.059
0010, SHITOMASI, FREAK, 13.889, 11.8642
0011, SHITOMASI, FREAK, 12.0367, 11.9682
0012, SHITOMASI, FREAK, 11.5256, 9.88711
0013, SHITOMASI, FREAK, 12.9306, 9.42504
0014, SHITOMASI, FREAK, 11.5998, 9.30215
0015, SHITOMASI, FREAK, 8.69538, 8.3212
0016, SHITOMASI, FREAK, 9.10914, 8.89867
0017, SHITOMASI, FREAK, 12.6391, 11.0301
0018, SHITOMASI, FREAK, 6.24073, 8.53557

0000, HARRIS, BRISK, 
0001, HARRIS, BRISK, nan, 12.2891
0002, HARRIS, BRISK, 10.586, 13.3547
0003, HARRIS, BRISK, nan, 16.3845
0004, HARRIS, BRISK, 11.755, 14.0764
0005, HARRIS, BRISK, 13.3206, 12.7299
0006, HARRIS, BRISK, nan, 13.7511
0007, HARRIS, BRISK, 11.6557, 13.7314
0008, HARRIS, BRISK, 12.3725, 13.7901
0009, HARRIS, BRISK, nan, 12.059
0010, HARRIS, BRISK, -inf, 11.8642
0011, HARRIS, BRISK, nan, 11.9682
0012, HARRIS, BRISK, nan, 9.88711
0013, HARRIS, BRISK, 13.3551, 9.42504
0014, HARRIS, BRISK, 12.4394, 9.30215
0015, HARRIS, BRISK, -inf, 8.3212
0016, HARRIS, BRISK, 12.0207, 8.89867
0017, HARRIS, BRISK, nan, 11.0301
0018, HARRIS, BRISK, nan, 8.53557

0000, HARRIS, BRIEF, 
0001, HARRIS, BRIEF, 8.81335, 12.2891
0002, HARRIS, BRIEF, 11.0081, 13.3547
0003, HARRIS, BRIEF, nan, 16.3845
0004, HARRIS, BRIEF, 12.629, 14.0764
0005, HARRIS, BRIEF, 13.3206, 12.7299
0006, HARRIS, BRIEF, 14.3892, 13.7511
0007, HARRIS, BRIEF, 11.7285, 13.7314
0008, HARRIS, BRIEF, 13.5704, 13.7901
0009, HARRIS, BRIEF, nan, 12.059
0010, HARRIS, BRIEF, -inf, 11.8642
0011, HARRIS, BRIEF, nan, 11.9682
0012, HARRIS, BRIEF, nan, 9.88711
0013, HARRIS, BRIEF, 13.4095, 9.42504
0014, HARRIS, BRIEF, nan, 9.30215
0015, HARRIS, BRIEF, nan, 8.3212
0016, HARRIS, BRIEF, 7.03775, 8.89867
0017, HARRIS, BRIEF, 12.7384, 11.0301
0018, HARRIS, BRIEF, nan, 8.53557

0000, HARRIS, ORB, 
0001, HARRIS, ORB, nan, 12.2891
0002, HARRIS, ORB, 11.0081, 13.3547
0003, HARRIS, ORB, nan, 16.3845
0004, HARRIS, ORB, 12.629, 14.0764
0005, HARRIS, ORB, 19.2159, 12.7299
0006, HARRIS, ORB, 14.9633, 13.7511
0007, HARRIS, ORB, 12.2792, 13.7314
0008, HARRIS, ORB, 13.5704, 13.7901
0009, HARRIS, ORB, nan, 12.059
0010, HARRIS, ORB, -inf, 11.8642
0011, HARRIS, ORB, nan, 11.9682
0012, HARRIS, ORB, 23.9071, 9.88711
0013, HARRIS, ORB, 13.4095, 9.42504
0014, HARRIS, ORB, 5.85828, 9.30215
0015, HARRIS, ORB, nan, 8.3212
0016, HARRIS, ORB, 6.48965, 8.89867
0017, HARRIS, ORB, nan, 11.0301
0018, HARRIS, ORB, nan, 8.53557

0000, HARRIS, FREAK, 
0001, HARRIS, FREAK, nan, 12.2891
0002, HARRIS, FREAK, nan, 13.3547
0003, HARRIS, FREAK, nan, 16.3845
